key,nodes,strategy,geo,round,seconds,coverage
10-rarest-first,10,rarest-first,0,8,240,0.438
10-rarest-first,10,rarest-first,0,9,270,0.5476
10-rarest-first,10,rarest-first,0,10,300,0.6148
10-rarest-first,10,rarest-first,0,11,330,0.6706
10-rarest-first,10,rarest-first,0,12,360,0.7394
10-rarest-first,10,rarest-first,0,13,390,0.7938
10-rarest-first,10,rarest-first,0,14,420,0.8398
10-rarest-first,10,rarest-first,0,15,450,0.8652
10-rarest-first,10,rarest-first,0,16,480,0.8828
10-rarest-first,10,rarest-first,0,17,510,0.8998
10-rarest-first,10,rarest-first,0,18,540,0.9166
10-rarest-first,10,rarest-first,0,19,570,0.928
10-rarest-first,10,rarest-first,0,20,600,0.9424
10-rarest-first,10,rarest-first,0,21,630,0.96
10-rarest-first,10,rarest-first,0,22,660,0.9782
10-rarest-first,10,rarest-first,0,23,690,0.9878
10-replication-geo,10,replication,1,0,0,0.0078
10-replication-geo,10,replication,1,1,30,0.0262
10-replication-geo,10,replication,1,2,60,0.0454
10-replication-geo,10,replication,1,3,90,0.0536
10-replication-geo,10,replication,1,4,120,0.0682
10-replication-geo,10,replication,1,5,150,0.091
10-replication-geo,10,replication,1,6,180,0.1796
10-replication-geo,10,replication,1,7,210,0.2636
10-replication-geo,10,replication,1,8,240,0.3358
10-replication-geo,10,replication,1,9,270,0.398
10-replication-geo,10,replication,1,10,300,0.437
10-replication-geo,10,replication,1,11,330,0.4668
10-replication-geo,10,replication,1,12,360,0.505
10-replication-geo,10,replication,1,13,390,0.521
10-replication-geo,10,replication,1,14,420,0.5314
10-replication-geo,10,replication,1,15,450,0.5398
10-replication-geo,10,replication,1,16,480,0.5508
10-replication-geo,10,replication,1,17,510,0.5572
10-replication-geo,10,replication,1,18,540,0.5606
10-replication-geo,10,replication,1,19,570,0.5638
10-replication-geo,10,replication,1,20,600,0.5734
10-replication-geo,10,replication,1,21,630,0.5858
10-replication-geo,10,replication,1,22,660,0.5926
10-replication-geo,10,replication,1,23,690,0.5926
10-replication,10,replication,0,0,0,0.012
10-replication,10,replication,0,1,30,0.0366
10-replication,10,replication,0,2,60,0.0648
10-replication,10,replication,0,3,90,0.087
10-replication,10,replication,0,4,120,0.1118
10-replication,10,replication,0,5,150,0.1406
10-replication,10,replication,0,6,180,0.2362
10-replication,10,replication,0,7,210,0.3246
10-replication,10,replication,0,8,240,0.4194
10-replication,10,replication,0,9,270,0.505
10-replication,10,replication,0,10,300,0.5792
10-replication,10,replication,0,11,330,0.6458
10-replication,10,replication,0,12,360,0.705
10-replication,10,replication,0,13,390,0.763
10-replication,10,replication,0,14,420,0.8088
10-replication,10,replication,0,15,450,0.8422
10-replication,10,replication,0,16,480,0.8692
10-replication,10,replication,0,17,510,0.8928
10-replication,10,replication,0,18,540,0.9104
10-replication,10,replication,0,19,570,0.9246
10-replication,10,replication,0,20,600,0.9382
10-replication,10,replication,0,21,630,0.9528
10-replication,10,replication,0,22,660,0.966
10-replication,10,replication,0,23,690,0.9846
100-no-coop-geo,100,no-coop,1,0,0,0.0275
100-no-coop-geo,100,no-coop,1,1,30,0.0554
100-no-coop-geo,100,no-coop,1,2,60,0.0838
100-no-coop-geo,100,no-coop,1,3,90,0.1115
100-no-coop-geo,100,no-coop,1,4,120,0.1396
100-no-coop-geo,100,no-coop,1,5,150,0.166
100-no-coop-geo,100,no-coop,1,6,180,0.1939
100-no-coop-geo,100,no-coop,1,7,210,0.222
100-no-coop-geo,100,no-coop,1,8,240,0.2504
100-no-coop-geo,100,no-coop,1,9,270,0.277
100-no-coop-geo,100,no-coop,1,10,300,0.3016
100-no-coop-geo,100,no-coop,1,11,330,0.325
100-no-coop-geo,100,no-coop,1,12,360,0.3488
100-no-coop-geo,100,no-coop,1,13,390,0.37
100-no-coop-geo,100,no-coop,1,14,420,0.3898
100-no-coop-geo,100,no-coop,1,15,450,0.4071
100-no-coop-geo,100,no-coop,1,16,480,0.4245
100-no-coop-geo,100,no-coop,1,17,510,0.4427
100-no-coop-geo,100,no-coop,1,18,540,0.46
100-no-coop-geo,100,no-coop,1,19,570,0.4747
100-no-coop-geo,100,no-coop,1,20,600,0.4893
100-no-coop-geo,100,no-coop,1,21,630,0.5041
100-no-coop-geo,100,no-coop,1,22,660,0.5188
100-no-coop-geo,100,no-coop,1,23,690,0.5325
100-no-coop,100,no-coop,0,0,0,0.0276
100-no-coop,100,no-coop,0,1,30,0.0546
100-no-coop,100,no-coop,0,2,60,0.0817
100-no-coop,100,no-coop,0,3,90,0.1086
100-no-coop,100,no-coop,0,4,120,0.1354
100-no-coop,100,no-coop,0,5,150,0.1623
100-no-coop,100,no-coop,0,6,180,0.189
100-no-coop,100,no-coop,0,7,210,0.2167
100-no-coop,100,no-coop,0,8,240,0.2431
100-no-coop,100,no-coop,0,9,270,0.2693
100-no-coop,100,no-coop,0,10,300,0.2966
100-no-coop,100,no-coop,0,11,330,0.3241
100-no-coop,100,no-coop,0,12,360,0.3509
100-no-coop,100,no-coop,0,13,390,0.3783
100-no-coop,100,no-coop,0,14,420,0.4061
100-no-coop,100,no-coop,0,15,450,0.4334
100-no-coop,100,no-coop,0,16,480,0.46
100-no-coop,100,no-coop,0,17,510,0.4874
100-no-coop,100,no-coop,0,18,540,0.514
100-no-coop,100,no-coop,0,19,570,0.5412
100-no-coop,100,no-coop,0,20,600,0.5688
100-no-coop,100,no-coop,0,21,630,0.5963
100-no-coop,100,no-coop,0,22,660,0.6235
100-no-coop,100,no-coop,0,23,690,0.6514
100-rarest-first-geo,100,rarest-first,1,0,0,0.0186
100-rarest-first-geo,100,rarest-first,1,1,30,0.0645
100-rarest-first-geo,100,rarest-first,1,2,60,0.1464
