[    4423ms] [LOG] myLocationRenderMode not available in web @ http://localhost:8788/dart_sdk.js:32230
[ 4574934ms] [LOG] MapCanvas camera settled: zoom=6.526118453346977, target=LatLng(23.650000000000503, 122.10000000000002), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=6.526118453346977 @ http://localhost:8788/dart_sdk.js:32230
[ 4574972ms] [LOG] MapCanvas camera settled: zoom=6.526118453346977, target=LatLng(23.650000000000503, 122.10000000000002), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=6.526118453346977 @ http://localhost:8788/dart_sdk.js:32230
[ 4575010ms] [LOG] MapCanvas camera settled: zoom=6.526118453346977, target=LatLng(23.650000000000503, 122.10000000000002), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=6.526118453346977 @ http://localhost:8788/dart_sdk.js:32230
[ 4575049ms] [LOG] MapCanvas camera settled: zoom=6.526118453346977, target=LatLng(23.650000000000503, 122.10000000000002), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=6.526118453346977 @ http://localhost:8788/dart_sdk.js:32230
[ 4575087ms] [LOG] MapCanvas camera settled: zoom=6.526118453346977, target=LatLng(23.650000000000503, 122.10000000000002), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=6.526118453346977 @ http://localhost:8788/dart_sdk.js:32230
[ 4575125ms] [LOG] MapCanvas camera settled: zoom=6.526118453346977, target=LatLng(23.650000000000503, 122.10000000000002), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=6.526118453346977 @ http://localhost:8788/dart_sdk.js:32230
[ 4575164ms] [LOG] MapCanvas camera settled: zoom=6.526118453346977, target=LatLng(23.650000000000503, 122.10000000000002), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=6.526118453346977 @ http://localhost:8788/dart_sdk.js:32230
[ 4575205ms] [LOG] MapCanvas camera settled: zoom=6.526118453346977, target=LatLng(23.650000000000503, 122.10000000000002), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=6.526118453346977 @ http://localhost:8788/dart_sdk.js:32230
[ 4575243ms] [LOG] MapCanvas camera settled: zoom=6.526118453346977, target=LatLng(23.650000000000503, 122.10000000000002), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=6.526118453346977 @ http://localhost:8788/dart_sdk.js:32230
[ 4575281ms] [LOG] MapCanvas camera settled: zoom=6.526118453346977, target=LatLng(23.650000000000503, 122.10000000000002), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=6.526118453346977 @ http://localhost:8788/dart_sdk.js:32230
[ 4575319ms] [LOG] MapCanvas camera settled: zoom=6.526118453346977, target=LatLng(23.650000000000503, 122.10000000000002), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=6.526118453346977 @ http://localhost:8788/dart_sdk.js:32230
[ 4575357ms] [LOG] MapCanvas camera settled: zoom=6.526118453346977, target=LatLng(23.650000000000503, 122.10000000000002), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=6.526118453346977 @ http://localhost:8788/dart_sdk.js:32230
[ 4575395ms] [LOG] MapCanvas camera settled: zoom=6.526118453346977, target=LatLng(23.650000000000503, 122.10000000000002), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=6.526118453346977 @ http://localhost:8788/dart_sdk.js:32230
[ 4575433ms] [LOG] MapCanvas camera settled: zoom=6.526118453346977, target=LatLng(23.650000000000503, 122.10000000000002), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=6.526118453346977 @ http://localhost:8788/dart_sdk.js:32230
[ 4575473ms] [LOG] MapCanvas camera settled: zoom=6.526118453346977, target=LatLng(23.650000000000503, 122.10000000000002), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=6.526118453346977 @ http://localhost:8788/dart_sdk.js:32230
[ 4575512ms] [LOG] MapCanvas camera settled: zoom=6.526118453346977, target=LatLng(23.650000000000503, 122.10000000000002), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=6.526118453346977 @ http://localhost:8788/dart_sdk.js:32230
