run,sample_index,current_ua,voltage_uv,battery_status,power_mw
5,22,-80312,4100468,Not charging,329.32
5,23,-100937,4099218,Not charging,413.76
5,24,-97812,4094062,Not charging,400.45
5,25,-94687,4098750,Not charging,388.1
5,26,-91562,4100156,Not charging,375.42
5,27,-105000,4097812,Not charging,430.27
5,28,-108125,4097968,Not charging,443.09
5,29,-256562,4086875,Not charging,1048.54
5,30,-91562,4100468,Not charging,375.45
5,31,-114062,4097968,Not charging,467.42
5,32,-115312,4099062,Not charging,472.67
5,33,-138750,4096093,Not charging,568.33
5,34,-102812,4099218,Not charging,421.45
5,35,-96875,4086562,Not charging,395.89
5,36,-118437,4098906,Not charging,485.46
5,37,-104062,4099843,Not charging,426.64
5,38,-100937,4099843,Not charging,413.83
5,39,-101875,4099375,Not charging,417.62
5,40,-94687,4099375,Not charging,388.16
5,41,-75312,4101406,Not charging,308.89
5,42,-138750,4097968,Not charging,568.59
5,43,-142812,4096250,Not charging,584.99
5,44,-127500,4098125,Not charging,522.51
5,45,-108125,4100468,Not charging,443.36
5,46,-113125,4098281,Not charging,463.62
5,47,-379687,4072031,Not charging,1546.1
5,48,-127187,4099687,Not charging,521.43
5,49,-114062,4098906,Not charging,467.53
5,50,-88750,4098750,Not charging,363.76
5,51,-84375,4099218,Not charging,345.87
5,52,-100937,4100156,Not charging,413.86
5,53,-102812,4098125,Not charging,421.34
5,54,-88750,4097968,Not charging,363.69
5,55,-125625,4098281,Not charging,514.85
5,56,-110937,4099062,Not charging,454.74
5,57,-114062,4098750,Not charging,467.51
5,58,-110000,4098906,Not charging,450.88
5,59,-97812,4098906,Not charging,400.92
5,60,-113125,4098437,Not charging,463.64
6,1,-93750,4097656,Not charging,384.16
6,2,-99062,4097031,Not charging,405.86
6,3,-107187,4096718,Not charging,439.11
6,4,-93750,4097343,Not charging,384.13
6,5,-96875,4097187,Not charging,396.91
6,6,-105937,4095937,Not charging,433.91
6,7,-108125,4095625,Not charging,442.84
6,8,-110000,4097187,Not charging,450.69
6,9,-105000,4097656,Not charging,430.25
6,10,-80312,4097343,Not charging,329.07
6,11,-105937,4097968,Not charging,434.13
6,12,-107187,4092968,Not charging,438.71
6,13,-92500,4097812,Not charging,379.05
6,14,-123437,4097343,Not charging,505.76
6,15,-95937,4096562,Not charging,393.01
6,16,-74375,4097968,Not charging,304.79
6,17,-97812,4098906,Not charging,400.92
6,18,-165937,4090312,Not charging,678.73
6,19,-89687,4097031,Not charging,367.45
6,20,-94687,4097031,Not charging,387.94
