run,sample_index,current_ua,voltage_uv,battery_status,power_mw
4,52,-105937,4103281,Not charging,434.69
4,53,-86562,4103593,Not charging,355.22
4,54,-83437,4106562,Not charging,342.64
4,55,-123437,4101562,Not charging,506.28
4,56,-81562,4104687,Not charging,334.79
4,57,-92500,4098125,Not charging,379.08
4,58,-94687,4105468,Not charging,388.73
4,59,-166562,4098437,Not charging,682.64
4,60,-76250,4106250,Not charging,313.1
5,1,-78437,4103906,Not charging,321.9
5,2,-217500,4089687,Not charging,889.51
5,3,-102812,4097656,Not charging,421.29
5,4,-94687,4102187,Not charging,388.42
5,5,-92812,4101250,Not charging,380.65
5,6,-100000,4100468,Not charging,410.05
5,7,-108125,4102187,Not charging,443.55
5,8,-97812,4101406,Not charging,401.17
5,9,-76250,4102343,Not charging,312.8
5,10,-143750,4100781,Not charging,589.49
5,11,-92812,4102500,Not charging,380.76
5,12,-101875,4101875,Not charging,417.88
5,13,-169375,4096093,Not charging,693.78
5,14,-77187,4100000,Not charging,316.47
5,15,-84375,4101875,Not charging,346.1
5,16,-140937,4095937,Not charging,577.27
5,17,-99687,4103281,Not charging,409.04
5,18,-117500,4098125,Not charging,481.53
5,19,-115312,4100781,Not charging,472.87
5,20,-87500,4102031,Not charging,358.93
5,21,-181875,4094687,Not charging,744.72
5,22,-90625,4101406,Not charging,371.69
5,23,-99687,4102500,Not charging,408.97
5,24,-96875,4101406,Not charging,397.32
5,25,-133750,4098437,Not charging,548.17
5,26,-99062,4100937,Not charging,406.25
5,27,-135625,4094687,Not charging,555.34
5,28,-93750,4102968,Not charging,384.65
5,29,-86562,4102187,Not charging,355.09
5,30,-101875,4102031,Not charging,417.89
5,31,-95625,4101093,Not charging,392.17
5,32,-162187,4098281,Not charging,664.69
5,33,-111250,4100781,Not charging,456.21
5,34,-96875,4101562,Not charging,397.34
5,35,-88750,4102812,Not charging,364.12
5,36,-123437,4101406,Not charging,506.27
5,37,-72187,4105156,Not charging,296.34
5,38,-89687,4103125,Not charging,368.0
5,39,-78437,4102031,Not charging,321.75
5,40,-81562,4101562,Not charging,334.53
5,41,-91562,4102500,Not charging,375.63
5,42,-83437,4102968,Not charging,342.34
5,43,-88750,4102187,Not charging,364.07
5,44,-94687,4101250,Not charging,388.34
5,45,-88750,4103125,Not charging,364.15
5,46,-96875,4102031,Not charging,397.38
5,47,-81250,4096562,Not charging,332.85
5,48,-85625,4102500,Not charging,351.28
5,49,-112187,4100156,Not charging,459.98
5,50,-123437,4100312,Not charging,506.13
5,51,-93750,4102968,Not charging,384.65
5,52,-83437,4102187,Not charging,342.27
5,53,-90625,4103906,Not charging,371.92
5,54,-96875,4103281,Not charging,397.51
5,55,-103125,4102343,Not charging,423.05
5,56,-79375,4102500,Not charging,325.64
5,57,-108125,4101406,Not charging,443.46
5,58,-74375,4102500,Not charging,305.12
5,59,-94687,4102031,Not charging,388.41
5,60,-134687,4099218,Not charging,552.11
6,1,-92500,4096718,Not charging,378.95
6,2,-82500,4101093,Not charging,338.34
6,3,-79375,4100781,Not charging,325.5
6,4,-77500,4101250,Not charging,317.85
6,5,-84375,4100468,Not charging,345.98
6,6,-82500,4100000,Not charging,338.25
6,7,-100937,4098437,Not charging,413.68
6,8,-73125,4099843,Not charging,299.8
6,9,-108125,4097656,Not charging,443.06
6,10,-115312,4099843,Not charging,472.76
6,11,-115000,4097343,Not charging,471.19
6,12,-97812,4100781,Not charging,401.11
6,13,-82500,4100937,Not charging,338.33
6,14,-92812,4098750,Not charging,380.41
6,15,-79375,4094218,Not charging,324.98
6,16,-232812,4096562,Not charging,953.73
6,17,-91562,4100937,Not charging,375.49
6,18,-91562,4099218,Not charging,375.33
6,19,-96875,4101250,Not charging,397.31
6,20,-95625,4100312,Not charging,392.09
6,21,-92500,4099218,Not charging,379.18
6,22,-76250,4100000,Not charging,312.62
6,23,-82500,4100781,Not charging,338.31
6,24,-100937,4091406,Not charging,412.97
6,25,-146875,4100312,Not charging,602.23
6,26,-105937,4100156,Not charging,434.36
6,27,-76250,4100312,Not charging,312.65
6,28,-92500,4099843,Not charging,379.24
6,29,-104062,4101406,Not charging,426.8
6,30,-77500,4100000,Not charging,317.75
6,31,-89687,4101875,Not charging,367.88
6,32,-81562,4101562,Not charging,334.53
6,33,-105937,4095781,Not charging,433.89
6,34,-89687,4101093,Not charging,367.81
6,35,-122500,4096875,Not charging,501.87
6,36,-83437,4099687,Not charging,342.07
6,37,-101875,4101250,Not charging,417.81
6,38,-122187,4098750,Not charging,500.81
6,39,-100000,4100156,Not charging,410.02
6,40,-74375,4099687,Not charging,304.91
6,41,-72187,4102187,Not charging,296.12
6,42,-89687,4100312,Not charging,367.74
6,43,-131562,4099375,Not charging,539.32
6,44,-138750,4098906,Not charging,568.72
6,45,-93750,4099843,Not charging,384.36
6,46,-88437,4101093,Not charging,362.69
6,47,-109062,4100000,Not charging,447.15
6,48,-84375,4101093,Not charging,346.03
6,49,-82500,4100468,Not charging,338.29
6,50,-104062,4100000,Not charging,426.65
6,51,-82500,4100468,Not charging,338.29
6,52,-82500,4101875,Not charging,338.4
6,53,-87500,4100156,Not charging,358.76
6,54,-79375,4100312,Not charging,325.46
6,55,-80312,4095781,Not charging,328.94
6,56,-87500,4100156,Not charging,358.76
6,57,-114062,4098906,Not charging,467.53
6,58,-106250,4099843,Not charging,435.61
6,59,-75312,4101093,Not charging,308.86
6,60,-98750,4099218,Not charging,404.8
